id;siren;nic;l1_normalisee;l2_normalisee;l3_normalisee;l4_normalisee;l5_normalisee;l6_normalisee;l7_normalisee;numvoie;typvoie;libvoie;codpos;libcom;apet700;libtefet;adr_mail
8117304;775889801;00020;"MONSIEUR JUAN SALA";;;"20 PLACE MICHEL BULLY";;"30000 NIMES";FRANCE;20;PL;"MICHEL BULLY";30000;NIMES;6820B;"0 salarié";
8120955;776303455;00013;"OGEC ST MARC";"ECOLE PRIM PRIVEE E P MIXTE B";;"6 PLACE VICTOR HUGO";;"42120 LE COTEAU";FRANCE;6;PL;"VICTOR HUGO";42120;"LE COTEAU";8520Z;"10 à 19 salariés";
8123533;776533994;00013;"AEP PROFESSIONNELLE";"LYCEE ENSEIGT PROF PRIVE ECA";;"2 RUE DES CARILLONS";;"74940 ANNECY LE VIEUX";FRANCE;2;RUE;"DES CARILLONS";74940;"ANNECY LE VIEUX";8532Z;"50 à 99 salariés";
8123534;776533994;00021;"LYCEE PRIVE";"AEP PROFESSIONNELLE";;"RUE DES CARILLONS";;"74940 ANNECY LE VIEUX";FRANCE;;RUE;"DES CARILLONS";74940;"ANNECY LE VIEUX";8520Z;"0 salarié";
8137330;778148700;00017;"BON PASTEUR COMMUNAUTE";;;"3 RUE BRAULT";;"49100 ANGERS";FRANCE;3;RUE;BRAULT;49100;ANGERS;9491Z;"10 à 19 salariés";
8138437;778245985;00024;"MAISON FAMIL INST EDUCATION ORIENTATIO";;;"33 BOULEVARD DE BELLEVUE";"BP 46";"21802 QUETIGNY CEDEX";FRANCE;33;BD;"DE BELLEVUE";21800;QUETIGNY;8531Z;"20 à 49 salariés";
8157151;779910926;00012;"FOYER RESTAURANT LE COLOMBIER";;;"13 RUE MARC BLOCH";;"69007 LYON";FRANCE;13;RUE;"MARC BLOCH";69007;"LYON 7EME";5629B;"3 à 5 salariés";
8159475;780129821;00093;ACCESSION;"STE PROUPUECH PROMOT CONSTRUCT";;"265 AVENUE JEAN RIEUX";;"31500 TOULOUSE";FRANCE;265;AV;"JEAN RIEUX";31500;TOULOUSE;4110A;"1 ou 2 salariés";
8169876;781065065;00018;"UNION INDUST METIER METALLURG REG HAVR";;;"115 RUE DESRAME";"BP 90023";"76620 LE HAVRE";FRANCE;115;RUE;DESRAME;76620;"LE HAVRE";9411Z;"6 à 9 salariés";
8202486;784330128;00033;"CABINET BOETTCHER";;;"16 RUE MEDERIC";;"75017 PARIS 17";;16;RUE;MEDERIC;75017;"PARIS 17";6910Z;"10 à 19 salariés";
8207592;784710279;00018;"CLINIQUE SAINTE THERESE";"7 9 11";;"7 RUE GUSTAVE DORE";;"75017 PARIS";FRANCE;7;RUE;"GUSTAVE DORE";75017;"PARIS 17";8610Z;"50 à 99 salariés";
8207593;784710279;00034;"CLINIQUE SAINTE THERESE";;;"14 RUE GUSTAVE DORE";;"75017 PARIS";FRANCE;14;RUE;"GUSTAVE DORE";75017;"PARIS 17";8610Z;"0 salarié";
